"system","code","display","count"
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I69.3",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S12.23",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S32.4",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","T86.10",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","K92.2",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","K21.9",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","K21.0",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","R60.1",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","C71.3",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M17.4",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","G81.9",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","R44.3",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S62.10",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","N39.0",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I21.1",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I50.01",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I11.01",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I50.9",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","K44.0",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I10.90",,8
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","E03.1",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","E03.8",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","E03.4",,3
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M10.07",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M10.07",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I95.0",,12
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S72.11",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","Y57.9",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","T89.02",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I25.11",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","F32.0",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I50.12",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I50.13",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I50.14",,12
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I50.12",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","C50.4",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","T83.0",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","K12.3",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I21.0",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I23.2",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I25.2",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I21.1",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I22.8",,4
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I25.22",,3
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","N04",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","E46",,1
